time,type,note,velocity
0.000,note_on,68,50
0.000,note_on,72,50
0.000,note_on,77,50
0.000,note_on,41,50
0.000,note_on,53,50
0.000,note_on,36,50
0.115,note_off,36,0
0.231,note_on,42,50
0.346,note_off,42,0
0.462,note_off,77,0
0.462,note_off,72,0
0.462,note_off,68,0
0.462,note_on,72,50
0.462,note_on,76,50
0.462,note_on,79,50
0.462,note_off,53,0
0.462,note_off,41,0
0.462,note_on,40,50
0.462,note_on,52,50
0.462,note_on,36,50
0.577,note_off,36,0
0.692,note_on,42,50
0.808,note_off,42,0
0.923,note_off,79,0
0.923,note_off,76,0
0.923,note_off,72,0
0.923,note_on,72,50
0.923,note_on,75,50
0.923,note_on,80,50
0.923,note_off,52,0
0.923,note_off,40,0
0.923,note_on,39,50
0.923,note_on,51,50
0.923,note_on,36,50
1.038,note_off,36,0
1.154,note_on,42,50
1.269,note_off,80,0
1.269,note_off,75,0
1.269,note_off,72,0
1.269,note_on,84,50
1.269,note_on,74,50
1.269,note_on,77,50
1.269,note_off,51,0
1.269,note_off,39,0
1.269,note_on,38,50
1.269,note_on,50,50
1.269,note_off,42,0
1.385,note_on,36,50
1.500,note_off,36,0
1.615,note_off,84,0
1.615,note_on,80,50
1.615,note_off,50,0
1.615,note_off,38,0
1.615,note_on,37,50
1.615,note_on,50,50
1.615,note_on,42,50
1.731,note_off,42,0
1.846,note_off,77,0
1.846,note_off,74,0
1.846,note_off,80,0
1.846,note_on,83,50
1.846,note_on,73,50
1.846,note_on,77,50
1.846,note_off,50,0
1.846,note_off,37,0
1.846,note_on,37,50
1.846,note_on,49,50
1.846,note_on,36,50
1.962,note_off,36,0
2.077,note_on,42,50
2.192,note_off,83,0
2.192,note_on,82,50
2.192,note_off,42,0
2.308,note_on,36,50
2.423,note_off,36,0
2.538,note_off,77,0
2.538,note_off,73,0
2.538,note_off,82,0
2.538,note_on,72,50
2.538,note_on,76,50
2.538,note_on,80,50
2.538,note_off,49,0
2.538,note_off,37,0
2.538,note_on,37,50
2.538,note_on,49,50
2.538,note_on,42,50
2.654,note_off,42,0
2.769,note_off,49,0
2.769,note_off,37,0
2.769,note_on,36,50
2.769,note_on,48,50
2.769,note_on,36,50
2.885,note_off,36,0
3.000,note_on,42,50
3.115,note_off,42,0
3.231,note_off,80,0
3.231,note_off,76,0
3.231,note_off,72,0
3.231,note_on,68,50
3.231,note_on,72,50
3.231,note_off,48,0
3.231,note_off,36,0
3.231,note_on,36,50
3.231,note_on,48,50
3.231,note_on,36,50
3.346,note_off,36,0
3.462,note_on,75,50
3.462,note_off,48,0
3.462,note_off,36,0
3.462,note_on,39,50
3.462,note_on,51,50
3.462,note_on,42,50
3.577,note_off,42,0
3.692,note_off,72,0
3.692,note_off,68,0
3.692,note_off,75,0
3.692,note_on,75,50
3.692,note_on,68,50
3.692,note_on,72,50
3.692,note_off,51,0
3.692,note_off,39,0
3.692,note_on,41,50
3.692,note_on,53,50
3.692,note_on,36,50
3.808,note_off,75,0
3.808,note_on,76,50
3.808,note_off,36,0
3.923,note_off,53,0
3.923,note_off,41,0
3.923,note_on,41,50
3.923,note_on,53,50
3.923,note_on,42,50
4.038,note_off,72,0
4.038,note_off,68,0
4.038,note_off,76,0
4.038,note_on,68,50
4.038,note_on,72,50
4.038,note_on,77,50
4.038,note_off,53,0
4.038,note_off,41,0
4.038,note_on,40,50
4.038,note_on,52,50
4.038,note_off,42,0
4.154,note_on,36,50
4.269,note_off,52,0
4.269,note_off,40,0
4.269,note_on,40,50
4.269,note_on,52,50
4.269,note_off,36,0
4.385,note_off,52,0
4.385,note_off,40,0
4.385,note_on,39,50
4.385,note_on,51,50
4.385,note_on,42,50
4.500,note_off,42,0
4.615,note_off,51,0
4.615,note_off,39,0
4.615,note_on,39,50
4.615,note_on,51,50
4.615,note_on,36,50
4.731,note_off,51,0
4.731,note_off,39,0
4.731,note_on,38,50
4.731,note_on,50,50
4.731,note_off,36,0
4.846,note_on,42,50
4.962,note_off,50,0
4.962,note_off,38,0
4.962,note_on,38,50
4.962,note_on,50,50
4.962,note_off,42,0
5.077,note_off,50,0
5.077,note_off,38,0
5.077,note_on,32,50
5.077,note_on,44,50
5.077,note_on,36,50
5.192,note_off,36,0
5.308,note_off,44,0
5.308,note_off,32,0
5.308,note_on,32,50
5.308,note_on,44,50
5.308,note_on,42,50
5.423,note_off,77,0
5.423,note_off,72,0
5.423,note_off,68,0
5.423,note_off,42,0
5.538,note_on,87,50
